Oc,media_erro,var_erro,desvio_padrao_erro
0,0.0,0.0,0.0
10,-0.0013879119836015421,114.21626536372187,10.687201006985967
20,0.0007916115960605399,207.07544494289112,14.390116224092532
30,0.0003601350490569862,295.4188281939568,17.187752272881898
40,-0.00010227908357304288,382.4930758711866,19.557430195994222
50,0.0018993836239076095,469.5709558160905,21.669585963190215
60,-0.0012734333236409363,555.2667194918658,23.564098104783596
70,-0.0007051426327773254,641.1123991952744,25.320197455692846
80,0.0013330589312564643,722.6706492569532,26.882534278913386
90,0.0025588128381177867,801.5553010457041,28.311751995341158
100,-0.0005794478533172731,878.3297122216219,29.636627882092487
