Oc,media_erro,var_erro,desvio_padrao_erro
0,0.0,0.0,0.0
10,0.000832407029309265,122.04920951545925,11.047588402699445
20,0.001993370258703358,224.60236567161925,14.986739661167777
30,-0.002943811544637909,320.9681209969466,17.91558318885954
40,-0.004327302680906274,414.9327950385138,20.369899239773225
50,-7.835600544233988e-05,508.8306015303959,22.55727380536921
60,-0.0034322856605148804,599.7157099442302,24.48909369381052
70,-0.008708007898845545,689.0016697943089,26.248841303842518
80,-0.006817833145546133,773.0995118509595,27.804667087576494
90,-0.0026530928988660633,853.358355458995,29.212298017427436
100,-0.005844417830708949,930.0046299259036,30.495977274484968
