n_ocupacao,media_EME,var_EME,DP_EME
0,-4.536222390459849e-06,0.03744641639014412,0.19351076556652894
10,6.992691486969114e-08,0.04136794107222712,0.20339110371947716
20,5.5869656579647005e-06,0.038198089969618224,0.19544331651304483
30,-2.717814218476769e-06,0.04211267305952252,0.20521372531953735
40,6.08746505964416e-06,0.04005198422564616,0.2001299183671601
50,2.6019792222208313e-06,0.04538217190471325,0.21303091772020616
60,2.713462757080936e-06,0.03662914312975216,0.19138741633072998
70,-1.410902312062886e-06,0.03965197457945145,0.19912803564403345
80,-3.5244445314183758e-06,0.04524254503011179,0.21270295021487545
90,7.3112490662734285e-06,0.031862954595003525,0.17850197364456094
100,-9.594942079416256e-06,0.0488505874284338,0.22102168995018068
