n_ocupacao,media_MSE,var_MSE,DP_MSE
0,0.0,0.0,0.0
10,116.62076342905657,322.6379931551089,17.96212663230913
20,206.87500552831779,141.78977294435245,11.907551089302638
30,297.9760561519834,122.90284233579803,11.0861554353075
40,386.9044595522958,154.74126056794117,12.439504032233003
50,473.5502608129949,275.61445339691636,16.601640081537617
60,562.4182261136607,575.8735755446437,23.997366012640715
70,643.46589299447,762.0029114375293,27.604400218760944
80,725.373871720646,913.2393791288919,30.219850746304022
90,807.95600118424,582.2295495694467,24.12943326250011
100,881.848333768987,358.1989380207786,18.926144298846996
