n_ocupacao,media_MAE,var_MAE,DP_MAE
0,0.0,0.0,0.0
10,6.395331295658546,0.41682703687281997,0.6456214346448079
20,8.896173163302825,0.8077899261685048,0.8987713425385262
30,11.089285354712091,1.2490276006260799,1.1175990339232045
40,13.05980530614991,1.7186494076344174,1.3109726952284009
50,14.837357408295407,2.218388153831622,1.4894254442004213
60,16.45740062844205,2.7110426746962855,1.646524422745161
70,17.96318692671973,3.2410653151922686,1.8002958965659697
80,19.332895648700518,3.7472611483077536,1.9357843754684438
90,20.569375127236544,4.2282791982901635,2.0562779963541318
100,21.690235518883032,4.706370235333392,2.1694170266072383
