n_ocupacao,media_DP,var_DP,DP_DP
0,0.0,0.0,0.0
10,10.779197212179566,0.4676164999630603,0.6838249044624365
20,14.37772164565495,0.1814561494105712,0.4259767005489516
30,17.26028600535478,0.1035651219519267,0.3218153538163254
40,19.668953442093006,0.10042498283306646,0.3168990104640064
50,21.759459137835336,0.1442052219477474,0.37974362660582917
60,23.712628286799273,0.24358874648627743,0.4935471066537392
70,25.36173449664781,0.326924557309901,0.5717731694561236
80,26.92789470945253,0.3513824286103019,0.5927751923033738
90,28.42398618898888,0.1834175247436336,0.4282727223903404
100,29.696616417834388,0.09967476963749165,0.31571311286909143
