n_ocupacao,media_DP,var_DP,DP_DP
0,0.0,0.0,0.0
10,10.708558337360246,1.0000053384294396,1.0000026692111574
20,14.416194576464031,1.9689449214612766,1.4031909782568004
30,17.276772262343417,2.7054813753483256,1.6448347562440202
40,19.686762855298447,3.465360655002197,1.8615479190722426
50,21.796886990066955,4.294946831613424,2.0724253500701595
60,23.687589482565873,4.853062274543116,2.2029666984643947
70,25.406848972361193,5.845008362922902,2.417645210307522
80,26.96029329333197,6.603451849910352,2.5697182432925114
90,28.366625006465796,6.993977825308476,2.644612982140955
100,29.64444533033559,7.754284454885247,2.7846515859053618
