n_ocupacao,media_SNR,var_SNR,DP_SNR
0,6.156480453169924,0.0023624244945223702,0.0486047785153103
10,6.158718067220649,0.00798001694688576,0.0893309405910727
20,6.153125607347557,0.001886976289517749,0.04343934034395261
30,6.149189376632332,0.001059099400305203,0.032543807403332556
40,6.158458540607979,0.004539563994590558,0.0673762865895009
50,6.151008625215843,0.0018200648640383026,0.04266221822688434
60,6.150617104753221,0.0007885377315229027,0.028080914007968163
70,6.149725660302293,0.0022790119420588863,0.04773899812583928
80,6.144882084087426,0.002801405125305342,0.052928301742124144
90,6.161173286223159,0.010599356315034121,0.10295317535187597
100,6.160554647089452,0.011371776593533599,0.10663853240519394
