n_ocupacao,media_SNR,var_SNR,DP_SNR
0,nan,nan,nan
10,12.404396040424412,0.05588533482366143,0.23640079277291232
20,12.844298377237408,0.02504293253692751,0.1582495893736458
30,13.014595881220655,0.08866806243582025,0.2977718294866394
40,13.155288901756169,0.013763849428138592,0.11731943329277802
50,13.232092389459796,0.010665618722477028,0.10327448243625832
60,13.301821898144071,0.011935663670684535,0.10925046302274666
70,13.380079423540456,0.03036400111292301,0.1742526932730826
80,13.441098010351823,0.03126066215395361,0.1768068498502069
90,13.476872146890416,0.02588276513809901,0.1608812143729
100,13.57116690863702,0.023295926248691853,0.15263003062533878
