n_ocupacao,media_EME,var_EME,DP_EME
0,0.0,0.0,0.0
10,-0.0014025977714077623,0.00024148773041863657,0.015539875495596371
20,-0.0013656097658654542,0.0002615798619748102,0.016173430742264
30,0.006608199739201811,0.004507195148643304,0.06713564737636261
40,-0.0006791349980635016,0.00014932723081927498,0.012219952161087825
50,-0.002891992642028398,0.0009382168700387036,0.030630325986490962
60,0.00039537696135840013,0.00018209744363147722,0.01349434858122011
70,-0.003329221575723263,0.0012704248203576811,0.03564301923740021
80,-0.0023351601430089226,0.0006892675145970852,0.02625390474952412
90,0.00019764592373826368,0.0001824804281937222,0.01350853168163447
100,-0.0014205578728686144,0.0003637101255288962,0.01907118573998209
