n_ocupacao,media_EME,var_EME,DP_EME
0,0.0,0.0,0.0
10,-8.029577491660278e-07,7.972543138164587e-05,0.008928909865243678
20,1.3581027021431209e-06,0.0001524990286267771,0.012349049705413655
30,7.965759533542813e-08,0.00017919265522766653,0.013386286087920972
40,-2.4753894966881204e-08,0.00025057966277596417,0.015829708234075705
50,-5.25664871508619e-07,0.00021919917661859825,0.014805376611846057
60,-1.776415114001704e-07,0.00036041244772401265,0.018984531801548667
70,-4.530276570010957e-08,0.0003310288624988109,0.01819419859457434
80,-9.405849662660692e-08,0.00035262544529520963,0.018778323814845926
90,-9.22054096954357e-07,0.00036273360602584795,0.019045566571405746
100,1.5979484763531518e-06,0.0003778428765574007,0.019438180896303045
