n_ocupacao,media_MAE,var_MAE,DP_MAE
0,24.76008797152891,0.015772933983216834,0.12559034191854418
10,24.743149344060114,0.013564167333119426,0.11646530527637587
20,24.755239539845658,0.013435505692620052,0.11591162880669072
30,24.738450491304995,0.02550609809585726,0.1597062869640931
40,24.741646440888566,0.01807923955514163,0.13445906274826414
50,24.743632291691885,0.011606883340533756,0.10773524650982962
60,24.728985883399794,0.057509735665456384,0.2398118755722001
70,24.740331867739705,0.0198965260904188,0.1410550463131993
80,24.766089859904945,0.049585209314262954,0.22267736596758764
90,24.730363582907838,0.011123171723996256,0.10546644833308959
100,24.750376388123946,0.0413144583657237,0.20325958369957295
