n_ocupacao,media_DP,var_DP,DP_DP
0,0.0,0.0,0.0
10,0.4947677858378318,7.846497833878683e-05,0.00885804596617035
20,0.6997519377224629,6.706173007399945e-05,0.008189122668149468
30,0.8568760701231966,8.396248155198784e-05,0.009163104362168306
40,0.9876632882600767,4.7619340686415134e-05,0.006900676828139044
50,1.1046132873195327,4.264413065701946e-05,0.006530247365683742
60,1.2091611985188273,2.9288907363620913e-05,0.0054119227048823335
70,1.3043920769553345,9.51969966023538e-05,0.009756894823782503
80,1.393661593810851,3.9458261042871144e-05,0.0062815810941888785
90,1.478354228522177,0.00024244308054992216,0.015570583821742914
100,1.555265050590656,7.633097872433066e-05,0.008736760196109921
