n_ocupacao,media_DP,var_DP,DP_DP
0,28.559195064272075,0.007311428176158182,0.08550688964146796
10,28.58040835929314,0.01127843745313226,0.1061999880090966
20,28.574760418985065,0.021993709390074306,0.14830276258409453
30,28.56201629757861,0.009802015235929641,0.09900512732141524
40,28.57156939798297,0.006632340814073005,0.0814391847581556
50,28.574673540666883,0.007383608063400702,0.08592792365349405
60,28.5420555461775,0.10409518976754298,0.3226378616460613
70,28.56019790557332,0.02491225067291123,0.15783615134978182
80,28.55609430168042,0.01410872315252684,0.11878014628938137
90,28.570635314859093,0.013471183408398186,0.11606542727443941
100,28.575933192433386,0.013222059779959102,0.11498721572400604
